OTU	CIMDEC_plaque_1_B25	CIMDEC_plaque_1_B8	CIMDEC_plaque_1_B5	CIMDEC_plaque_1_B6	CIMDEC_plaque_1_B1	CIMDEC_plaque_1_B3	CIMDEC_plaque_1_B27	CIMDEC_plaque_1_B9	CIMDEC_plaque_1_B11	CIMDEC_plaque_1_B2	CIMDEC_plaque_1_B7	CIMDEC_plaque_1_B10	CIMDEC_plaque_1_B4	CIMDEC_plaque_1_B31	CIMDEC_plaque_1_B12	CIMDEC_plaque_1_B29
MT177265.1	1	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0
KY940797.1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MG605066.1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
MT199882.1	1	0	0	0	0	0	0	7	0	0	0	0	0	1	0	0
KF499360.1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KJ490582.1	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
MW298367.1	1	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0
EU280121.1	2	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0
JX977163.1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MH656752.1	2	0	0	0	0	0	0	10	0	0	0	0	3	2	0	216
AY624994.1	2	1	0	0	0	0	0	0	0	0	0	1	0	0	0	68
OK664717.1	3	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0
MH864794.1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HM991734.1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MZ159408.1	9	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
KT459414.1	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
KP859002.1	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
KY051801.1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LR583738.1	4	0	0	0	0	0	1	13	0	0	0	0	0	1	0	0
