OTU,CIMDEC_plaque_1_B8,CIMDEC_plaque_1_B5,CIMDEC_plaque_1_B6,CIMDEC_plaque_1_B1,CIMDEC_plaque_1_B3,CIMDEC_plaque_1_B9,CIMDEC_plaque_1_B11,CIMDEC_plaque_1_B2,CIMDEC_plaque_1_B7,CIMDEC_plaque_1_B10,CIMDEC_plaque_1_B4,CIMDEC_plaque_1_B12,CIMDEC_plaque_1_B29
MK432798.1,0,0,0,0,0,0,0,0,0,0,0,0,0
AF141163.1,0,0,0,0,0,0,0,0,0,0,0,0,0
FJ357317.1,0,0,0,0,0,0,0,0,0,0,0,0,0
MK069419.1,0,0,0,0,0,0,0,0,0,0,0,0,0
MH595928.1,0,0,0,0,0,0,0,0,0,0,0,0,0
MK794327.1,0,0,0,0,0,0,0,0,0,0,0,0,0
EF512470.1,0,0,0,0,0,0,0,0,0,0,0,0,0
KU821458.1,0,0,0,0,0,0,0,0,0,0,0,0,0
MN244198.1,0,0,0,0,0,1,0,0,0,0,0,0,1
AY364838.1,0,0,0,0,0,5,0,0,0,2,0,0,0
FJ426989.1,0,0,0,0,0,1,0,0,0,0,0,0,0
KF251261.1,0,0,0,0,0,7,0,0,0,0,0,0,0
ON130635.1,0,0,0,0,0,0,0,0,0,0,0,0,0
KU728517.1,0,0,0,0,0,0,0,0,0,0,0,0,0
KX228270.1,0,0,0,0,0,0,0,0,0,0,0,0,0
MN973459.1,0,0,0,0,0,0,0,0,0,0,0,0,0
KP896056.1,0,0,0,0,0,0,0,0,0,0,0,0,0
AF178393.1,0,0,0,0,0,17,0,0,0,0,0,0,0
MN688823.1,0,0,0,0,0,0,0,0,0,0,0,0,0
KC343164.1,0,0,0,0,0,0,0,0,0,0,0,0,0
MH862427.1,0,0,0,0,0,0,0,0,0,0,0,0,0
MH753702.1,0,0,0,0,0,1,0,0,0,0,0,0,0
MW793963.1,0,0,0,0,0,0,0,0,0,0,0,0,7
EU153512.1,20,0,0,0,0,0,0,0,0,0,0,0,0
MK809454.1,10,0,0,0,1,0,0,0,0,2,2,0,1261
AB871751.1,7,0,0,0,0,0,0,0,0,0,0,0,0
MT462296.1,17,0,0,1,0,0,0,0,0,0,0,0,285
KU850565.1,1,0,3,0,1,0,2,2,0,2,4,1,1886
KC848278.1,1,0,0,0,0,0,0,0,0,0,0,0,0
JX310445.1,1,0,0,0,0,0,0,1,1,0,0,0,471
JQ948457.1,2,0,0,0,0,0,0,0,0,0,0,0,0
HQ435870.1,2,0,0,0,0,0,0,0,0,0,1,0,0
MK733257.1,0,6,0,0,0,0,0,0,0,0,0,0,0
MT385947.1,0,47,0,0,0,0,0,0,0,0,0,0,0
DQ780364.1,0,1,1,2,3,0,0,1,1,0,7107,1,0
FR748036.1,0,2,0,0,0,0,0,0,0,0,0,0,0
OL614712.1,0,1,0,0,0,0,0,0,0,0,671,0,0
MH305526.1,0,1,0,0,0,0,0,0,0,0,0,0,0
KR870853.1,0,1,0,0,0,0,0,0,0,0,0,0,0
EU167597.1,0,1,0,0,0,0,0,0,0,0,0,0,0
MK539998.1,0,0,1,0,0,0,0,0,0,0,0,0,515
MN784447.1,0,0,1,0,1,0,0,0,0,0,1,0,473
KF251253.1,0,0,1,0,0,1,0,0,0,0,197,0,0
JQ936290.1,0,0,0,1,1,0,1,0,1,0,0,0,32
MK736987.1,0,0,0,1,0,0,0,0,0,0,0,0,3
KU728502.1,0,0,0,1,0,0,0,0,0,0,0,1,988
KX887280.1,0,0,0,0,2,0,0,0,0,0,0,0,0
MK329123.1,0,0,0,0,0,0,0,0,0,0,0,0,0
JQ685518.1,0,0,0,0,0,0,0,0,0,0,0,0,0
MW732248.1,0,0,0,0,0,5,0,0,0,0,0,0,0
MH392087.1,0,0,0,0,0,0,0,0,0,0,0,0,0
KX228274.1,0,0,0,0,0,0,0,0,0,0,0,0,0
JF704194.1,0,0,0,0,0,0,0,0,0,0,0,0,0
JQ005767.1,0,0,0,0,0,0,0,0,0,0,0,0,0
JQ926266.1,0,0,0,0,0,0,0,0,0,0,0,0,0
EF652066.1,0,0,0,0,0,0,0,0,0,0,0,1,413
AF229457.1,0,0,0,0,0,0,0,0,0,0,0,0,0
MT185549.1,0,0,0,0,0,0,0,0,0,0,0,0,3
KM235691.1,0,0,0,0,0,0,0,0,1,2,1,1,1153
KJ490587.1,0,0,0,0,0,0,0,0,0,0,0,0,0
MH858565.1,0,0,0,0,0,0,0,0,0,0,0,0,0
FJ860788.1,0,0,0,0,0,1,0,0,0,0,0,0,0
KM669931.1,0,0,0,0,0,0,0,0,0,0,0,0,0
LT837470.1,0,0,0,0,0,0,0,0,0,0,0,0,1
MH171064.1,0,0,0,0,0,0,0,0,0,0,0,0,0
KR859213.1,0,0,0,0,0,0,0,0,0,0,0,0,0
MN818665.1,0,0,0,0,0,0,0,0,0,0,0,0,0
DQ323697.1,0,0,0,0,0,9,0,0,0,0,0,0,0
KY051832.1,0,0,0,0,0,0,0,0,0,0,0,0,0
KF251229.1,0,0,0,0,0,0,0,0,0,0,0,0,0
KY929338.1,0,0,0,0,0,0,0,0,0,0,0,0,0
MG520952.1,0,0,0,0,0,1,0,0,0,0,1,0,741
AF393726.2,0,0,0,0,0,0,0,0,0,0,0,0,0
